Source,Original ID,Acceptability,Original annotation,Sentence,Material added
SoD-Noun2,4.1a,1,,Ik geef een paar voorbeelden.,1
SoD-Noun2,4.1b,1,,Ik geef twee voorbeelden.,1
SoD-Noun2,4.1b,1,,Ik geef enkele voorbeelden.,1
SoD-Noun2,4.3a,1,,Ik heb een paar schoenen.,1
SoD-Noun2,4.3b,1,,Ik zag het paar schoenen.,1
SoD-Noun2,4.4a,1,,Er lopen een aantal studenten over het grasveld.,0
SoD-Noun2,4.4b,1,,Het aantal studenten is dit jaar weer gedaald.,0
SoD-Noun2,4.5a,1,,Er staat een tafel vol cadeaus.,1
SoD-Noun2,4.5a,0,??,Er staat een tafel cadeaus.,1
SoD-Noun2,4.5b,1,,Er staat een hele tafel cadeaus.,1
SoD-Noun2,4.5c,1,,Dat is een brief jobstijdingen.,1
SoD-Noun2,4.7a,1,,Ik zwem in een sloot melk.,1
SoD-Noun2,4.7a,0,*,Ik zwem in een sloot zand.,1
SoD-Noun2,4.7a,0,*,Ik zwem in een zee boeken.,1
SoD-Noun2,4.7b,1,,Ik zie een kudde olifanten.,1
SoD-Noun2,4.7b,1,,Ik zie een kudde vee.,1
SoD-Noun2,4.8b,1,,Ik geef les aan een sloot kinderen.,1
SoD-Noun2,4.8b,1,,Er is echt een sloot aanmeldingen.,1
SoD-Noun2,4.10a,1,,Er demonstreren een boel studenten.,0
SoD-Noun2,4.10a,0,*,Er demonstreert een boel studenten.,0
SoD-Noun2,4.10b,1,,Er demonstreert een groep studenten.,0
SoD-Noun2,4.10b,0,*,Er demonstreren een groep studenten.,0
SoD-Noun2,4.11a,1,,Er demonstreert een aantal studenten.,0
SoD-Noun2,4.11a,1,,Er demonstreren een aantal studenten.,0
SoD-Noun2,4.11b,1,,Een aantal studenten demonstreert.,0
SoD-Noun2,4.11b,1,,Een aantal studenten demonstreren.,0
SoD-Noun2,4.12a,1,,Er ligt een kilo appels op tafel.,0
SoD-Noun2,4.12b,1,,Er liggen een kilo appels op tafel.,0
SoD-Noun2,4.12b',0,*,Een kilo appels liggen op tafel.,0
SoD-Noun2,4.13a,1,,Er staan twee liters melk in de koelkast.,0
SoD-Noun2,4.13a,0,*,Er staat twee liters melk in de koelkast.,0
SoD-Noun2,4.13b,0,*,Er staan twee liter melk in de koelkast.,0
SoD-Noun2,4.13b',0,*,Twee liters melk staat in de koelkast.,0
SoD-Noun2,4.14a,1,,Een kudde olifanten gaat voorbij.,0
SoD-Noun2,4.14a,0,*?,Een kudde olifanten gaan voorbij.,0
SoD-Noun2,4.14b,1,,Er ligt een zakje snoepjes op tafel.,0
